SN,act_id,c17_2
8999,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Seasonally
805,"Goats, sheep, pigs, etc.",Throughout the year
805,Cattle,Throughout the year
805,"Other livestock such as poultry, rabbits etc.",Throughout the year
805,"Food crops: maize, rice, beans, etc.",Seasonally
2735,"Other livestock such as poultry, rabbits etc.",Seasonally
2735,Oil seeds,Seasonally
2735,"Food crops: maize, rice, beans, etc.",Seasonally
2735,"Goats, sheep, pigs, etc.",Seasonally
2735,Cattle,Only sometimes
1169,"Food crops: maize, rice, beans, etc.",Seasonally
6497,Cattle,Throughout the year
6497,"Food crops: maize, rice, beans, etc.",Seasonally
6497,Fishing or aquaculture,Seasonally
1670,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
1670,"Food crops: maize, rice, beans, etc.",Seasonally
3462,"Food crops: maize, rice, beans, etc.",Seasonally
3462,"Other livestock such as poultry, rabbits etc.",Throughout the year
1477,"Food crops: maize, rice, beans, etc.",Seasonally
2544,Cattle,Seasonally
2544,"Goats, sheep, pigs, etc.",Throughout the year
2544,"Food crops: maize, rice, beans, etc.",Seasonally
6139,"Other livestock such as poultry, rabbits etc.",Throughout the year
6139,"Goats, sheep, pigs, etc.",Throughout the year
1671,Oil seeds,Seasonally
2350,"Food crops: maize, rice, beans, etc.",Seasonally
583,"Food crops: maize, rice, beans, etc.",Seasonally
583,"Goats, sheep, pigs, etc.",Throughout the year
1170,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
1170,"Food crops: maize, rice, beans, etc.",Seasonally
1170,"Other livestock such as poultry, rabbits etc.",Throughout the year
3264,"Food crops: maize, rice, beans, etc.",Throughout the year
9812,"Food crops: maize, rice, beans, etc.",Only sometimes
9812,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Only sometimes
9812,"Vegetables – tomatoes, carrots, onions, cabbages, etc.",Seasonally
2545,"Food crops: maize, rice, beans, etc.",Seasonally
3979,"Food crops: maize, rice, beans, etc.",Seasonally
3979,"Goats, sheep, pigs, etc.",Throughout the year
3979,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
3979,Cattle,Throughout the year
3979,"Other livestock such as poultry, rabbits etc.",Throughout the year
2351,"Other livestock such as poultry, rabbits etc.",Throughout the year
2351,"Food crops: maize, rice, beans, etc.",Seasonally
9489,"Food crops: maize, rice, beans, etc.",Seasonally
9000,"Goats, sheep, pigs, etc.",Throughout the year
9000,"Food crops: maize, rice, beans, etc.",Seasonally
6346,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Throughout the year
6346,"Food crops: maize, rice, beans, etc.",Seasonally
5594,"Food crops: maize, rice, beans, etc.",Seasonally
8715,"Goats, sheep, pigs, etc.",Throughout the year
8715,"Food crops: maize, rice, beans, etc.",Seasonally
3265,"Food crops: maize, rice, beans, etc.",Seasonally
1865,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Throughout the year
1865,"Vegetables – tomatoes, carrots, onions, cabbages, etc.",Throughout the year
806,Oil seeds,Seasonally
806,"Vegetables – tomatoes, carrots, onions, cabbages, etc.",Seasonally
806,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Seasonally
806,"Food crops: maize, rice, beans, etc.",Seasonally
4537,"Goats, sheep, pigs, etc.",Throughout the year
4537,"Food crops: maize, rice, beans, etc.",Seasonally
4537,"Other livestock such as poultry, rabbits etc.",Throughout the year
4537,Cattle,Throughout the year
3266,"Food crops: maize, rice, beans, etc.",Throughout the year
807,"Goats, sheep, pigs, etc.",Throughout the year
807,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Seasonally
807,Cattle,Throughout the year
807,"Food crops: maize, rice, beans, etc.",Seasonally
807,"Other livestock such as poultry, rabbits etc.",Throughout the year
807,"Vegetables – tomatoes, carrots, onions, cabbages, etc.",Seasonally
6633,"Food crops: maize, rice, beans, etc.",Seasonally
8716,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
8716,"Food crops: maize, rice, beans, etc.",Seasonally
5595,"Food crops: maize, rice, beans, etc.",Seasonally
5595,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Seasonally
5361,"Food crops: maize, rice, beans, etc.",Seasonally
8116,"Food crops: maize, rice, beans, etc.",Seasonally
8116,"Goats, sheep, pigs, etc.",Throughout the year
8116,Cattle,Throughout the year
9161,"Food crops: maize, rice, beans, etc.",Seasonally
5596,"Other livestock such as poultry, rabbits etc.",Throughout the year
5596,"Food crops: maize, rice, beans, etc.",Seasonally
6347,"Food crops: maize, rice, beans, etc.",Throughout the year
9221,"Food crops: maize, rice, beans, etc.",Seasonally
5058,"Food crops: maize, rice, beans, etc.",Throughout the year
9222,"Food crops: maize, rice, beans, etc.",Seasonally
9222,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Throughout the year
4753,"Food crops: maize, rice, beans, etc.",Seasonally
6498,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Throughout the year
5207,"Food crops: maize, rice, beans, etc.",Seasonally
5207,Oil seeds,Seasonally
5207,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
5207,"Other livestock such as poultry, rabbits etc.",Throughout the year
2546,Other (specify),Throughout the year
2546,"Goats, sheep, pigs, etc.",Throughout the year
5362,"Food crops: maize, rice, beans, etc.",Seasonally
5362,Cattle,Throughout the year
5362,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
5362,"Goats, sheep, pigs, etc.",Throughout the year
1171,"Food crops: maize, rice, beans, etc.",Seasonally
8227,Oil seeds,Seasonally
8227,"Food crops: maize, rice, beans, etc.",Seasonally
8227,Cattle,Throughout the year
8227,"Other livestock such as poultry, rabbits etc.",Throughout the year
6635,"Food crops: maize, rice, beans, etc.",Seasonally
4754,Cattle,Throughout the year
4754,"Food crops: maize, rice, beans, etc.",Seasonally
4754,"Goats, sheep, pigs, etc.",Throughout the year
30,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
30,"Food crops: maize, rice, beans, etc.",Seasonally
1478,"Food crops: maize, rice, beans, etc.",Seasonally
3464,Cattle,Throughout the year
3464,"Food crops: maize, rice, beans, etc.",Seasonally
8027,"Goats, sheep, pigs, etc.",Throughout the year
8027,"Food crops: maize, rice, beans, etc.",Seasonally
1479,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
1479,"Food crops: maize, rice, beans, etc.",Seasonally
584,"Food crops: maize, rice, beans, etc.",Seasonally
4538,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
4538,"Food crops: maize, rice, beans, etc.",Seasonally
1172,"Food crops: maize, rice, beans, etc.",Seasonally
809,"Goats, sheep, pigs, etc.",Throughout the year
809,"Food crops: maize, rice, beans, etc.",Seasonally
809,"Other livestock such as poultry, rabbits etc.",Throughout the year
809,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Throughout the year
809,Cattle,Throughout the year
9001,"Other livestock such as poultry, rabbits etc.",Only sometimes
9001,"Food crops: maize, rice, beans, etc.",Throughout the year
5597,"Food crops: maize, rice, beans, etc.",Seasonally
5597,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
9298,"Food crops: maize, rice, beans, etc.",Seasonally
2955,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
2955,"Food crops: maize, rice, beans, etc.",Seasonally
3799,"Food crops: maize, rice, beans, etc.",Seasonally
3799,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
585,"Other livestock such as poultry, rabbits etc.",Throughout the year
585,"Food crops: maize, rice, beans, etc.",Seasonally
8521,"Food crops: maize, rice, beans, etc.",Seasonally
4273,Cattle,Throughout the year
4273,"Food crops: maize, rice, beans, etc.",Seasonally
810,"Food crops: maize, rice, beans, etc.",Seasonally
6993,"Food crops: maize, rice, beans, etc.",Seasonally
5990,"Food crops: maize, rice, beans, etc.",Seasonally
5990,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Seasonally
5059,"Food crops: maize, rice, beans, etc.",Seasonally
811,"Food crops: maize, rice, beans, etc.",Seasonally
3267,"Food crops: maize, rice, beans, etc.",Seasonally
2352,"Food crops: maize, rice, beans, etc.",Seasonally
