SN,loan__id,g_10_1,g_10_2,g_10_3,g_10_6,g_10_8,g10_1n_1,g10_1n_2,g10_1n_3,g10_1n_4
7617,Bank,True,True,True,True,False,True,True,False,False
10,Bank,True,True,True,True,False,True,True,False,False
8578,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
1296,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
7044,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,False,True,True,True,False
6697,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",False,True,True,True,True, , , , 
7623,SACCOS,True,True,True,True,True,True,True,False,False
1301,SACCOS,True,True,True,True,True,True,True,False,True
683,SACCOS,True,True,True,True,True,True,True,True,False
683,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,True,False
683,Bank,True,True,True,True,False,True,True,True,False
8671,Bank,True,True,True,True,False,True,True,False,False
5129,SACCOS,True,True,True,True,False,True,True,False,False
7975,Bank,False,True,True,True,False, , , , 
6315,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
6700,Bank,True,True,True,True,False,True,True,False,False
4109,Bank,True,True,True,True,False,True,True,False,False
971,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
14,"A Government Scheme/Institution eg government programs such as LGA, women, youth, etc",True,False,True,False,False,True,True,True,False
2232,Bank,True,True,True,True,True,False,False,False,False
9192,Bank,True,True,True,True,True,True,True,False,False
6868,Bank,True,True,True,False,False,False,False,True,True
8385,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
6961,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,True,False
2244,SACCOS,True,True,True,True,False,True,True,False,True
5902,"A Government Scheme/Institution eg government programs such as LGA, women, youth, etc",True,True,True,True,False,True,True,False,False
7352,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
5285,Bank,False,False,False,True,False, , , , 
6054,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,True,False
3111,"A Government Scheme/Institution eg government programs such as LGA, women, youth, etc",True,True,True,True,True,True,True,False,False
1572,"A Government Scheme/Institution eg government programs such as LGA, women, youth, etc",True,True,False,True,False,True,True,False,False
5911,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
8061,SACCOS,True,True,True,True,True,True,True,False,False
8589,"A Government Scheme/Institution eg government programs such as LGA, women, youth, etc",False,True,True,True,True, , , , 
8589,SACCOS,True,True,False,True,False,True,True,True,True
8589,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,False,True,False,True,True,False,False
8589,Bank,True,True,True,True,False,True,True,True,False
1007,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,True,False
5483,Bank,True,True,True,True,False,True,True,False,False
708,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,True,False
7683,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
9443,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",False,True,True,True,False, , , , 
1581,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
1009,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,False,True,True,False,False
7060,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",False,True,True,True,True, , , , 
2632,Bank,True,True,True,True,False,True,True,False,False
9444,Bank,True,True,True,True,True,True,True,False,False
9886,Bank,True,True,True,True,False,True,True,False,False
9326,SACCOS,True,True,True,True,False,True,True,False,False
2256,Bank,True,True,True,True,False,True,True,True,False
8331,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
6726,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
8100,Bank,True,True,True,True,False,True,True,False,False
3371,Bank,True,True,True,True,False,True,True,False,False
8062,Bank,True,True,True,True,False,True,True,False,False
6727,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,True
8677,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,False,True,False,False,False
6728,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,False,False,True,True,True,False
6067,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,False,True,True,True,True,False
2860,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
4934,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
8063,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,False,True,True,False,False
9259,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,False,True,True,False,True
7702,SACCOS,True,True,True,True,True,True,True,True,True
717,SACCOS,True,True,True,True,True,True,True,True,True
9732,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,True,False
6965,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,True,False
2469,Bank,True,True,True,False,True,True,True,False,False
4944,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,False,True,True,False,False
7210,Bank,True,True,True,True,True,True,True,False,False
6966,Bank,True,True,True,True,False,True,True,False,False
1030,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,False,True,True,True,False
1781,Bank,True,False,True,True,False,True,True,True,False
8682,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,False,True,True,False,True
9891,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",False,True,True,False,True, , , , 
1035,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
9892,Bank,True,True,True,True,True,True,True,True,True
